2026/07/05 18:50:46.357, 1695 MHz, 0 %, 124.16 W, 7186 MiB
2026/07/05 18:50:47.357, 1695 MHz, 0 %, 124.23 W, 7186 MiB
2026/07/05 18:50:48.358, 1695 MHz, 0 %, 124.28 W, 7186 MiB
2026/07/05 18:50:49.358, 1695 MHz, 0 %, 124.26 W, 7186 MiB
2026/07/05 18:50:50.358, 1695 MHz, 0 %, 124.35 W, 7186 MiB
2026/07/05 18:50:51.359, 1695 MHz, 0 %, 124.48 W, 7186 MiB
2026/07/05 18:50:52.359, 1695 MHz, 0 %, 124.42 W, 7186 MiB
2026/07/05 18:50:53.360, 1695 MHz, 0 %, 124.43 W, 7186 MiB
2026/07/05 18:50:54.360, 1695 MHz, 0 %, 124.45 W, 7186 MiB
2026/07/05 18:50:55.360, 1695 MHz, 0 %, 124.53 W, 7186 MiB
2026/07/05 18:50:56.361, 1695 MHz, 0 %, 124.58 W, 7186 MiB
2026/07/05 18:50:57.361, 1695 MHz, 0 %, 124.72 W, 7186 MiB
2026/07/05 18:50:58.362, 1695 MHz, 0 %, 124.79 W, 7186 MiB
2026/07/05 18:50:59.362, 255 MHz, 0 %, 94.39 W, 7186 MiB
2026/07/05 18:51:00.362, 210 MHz, 0 %, 45.26 W, 7186 MiB
2026/07/05 18:51:01.363, 210 MHz, 0 %, 25.69 W, 7186 MiB
2026/07/05 18:51:02.363, 210 MHz, 0 %, 24.95 W, 7186 MiB
2026/07/05 18:51:03.363, 210 MHz, 0 %, 24.70 W, 7186 MiB
2026/07/05 18:51:04.364, 210 MHz, 0 %, 24.33 W, 7186 MiB
2026/07/05 18:51:05.364, 210 MHz, 0 %, 24.34 W, 7186 MiB
2026/07/05 18:51:06.364, 210 MHz, 0 %, 24.46 W, 7186 MiB
2026/07/05 18:51:07.365, 210 MHz, 0 %, 24.25 W, 7186 MiB
2026/07/05 18:51:08.365, 210 MHz, 0 %, 24.24 W, 7186 MiB
2026/07/05 18:51:09.365, 210 MHz, 0 %, 24.39 W, 7186 MiB
2026/07/05 18:51:10.366, 210 MHz, 0 %, 24.21 W, 7186 MiB
2026/07/05 18:51:11.366, 210 MHz, 0 %, 24.19 W, 7186 MiB
2026/07/05 18:51:12.366, 210 MHz, 0 %, 24.35 W, 7186 MiB
2026/07/05 18:51:13.367, 210 MHz, 0 %, 24.17 W, 7186 MiB
2026/07/05 18:51:14.367, 210 MHz, 0 %, 24.13 W, 7186 MiB
2026/07/05 18:51:15.367, 210 MHz, 0 %, 24.29 W, 7186 MiB
2026/07/05 18:51:16.368, 210 MHz, 0 %, 24.13 W, 7186 MiB
2026/07/05 18:51:17.368, 210 MHz, 0 %, 24.12 W, 7186 MiB
2026/07/05 18:51:18.368, 210 MHz, 0 %, 24.28 W, 7186 MiB
2026/07/05 18:51:19.369, 210 MHz, 0 %, 24.10 W, 7186 MiB
2026/07/05 18:51:20.369, 210 MHz, 0 %, 24.10 W, 7186 MiB
2026/07/05 18:51:21.369, 210 MHz, 0 %, 24.24 W, 7186 MiB
2026/07/05 18:51:22.370, 210 MHz, 0 %, 24.04 W, 7186 MiB
2026/07/05 18:51:23.370, 210 MHz, 0 %, 24.03 W, 7186 MiB
2026/07/05 18:51:24.371, 210 MHz, 0 %, 24.22 W, 7186 MiB
2026/07/05 18:51:25.371, 210 MHz, 0 %, 24.34 W, 7186 MiB
2026/07/05 18:51:26.371, 210 MHz, 0 %, 24.30 W, 7186 MiB
2026/07/05 18:51:27.372, 210 MHz, 0 %, 23.97 W, 7186 MiB
2026/07/05 18:51:28.372, 210 MHz, 0 %, 23.95 W, 7186 MiB
2026/07/05 18:51:29.372, 210 MHz, 0 %, 24.11 W, 7186 MiB
2026/07/05 18:51:30.373, 210 MHz, 0 %, 23.97 W, 7186 MiB
2026/07/05 18:51:31.373, 210 MHz, 0 %, 23.97 W, 7186 MiB
2026/07/05 18:51:32.373, 210 MHz, 0 %, 24.27 W, 7186 MiB
2026/07/05 18:51:33.374, 210 MHz, 0 %, 24.44 W, 7186 MiB
2026/07/05 18:51:34.374, 210 MHz, 0 %, 24.27 W, 7186 MiB
2026/07/05 18:51:35.374, 210 MHz, 0 %, 23.97 W, 7186 MiB
2026/07/05 18:51:36.375, 210 MHz, 0 %, 23.98 W, 7186 MiB
2026/07/05 18:51:37.375, 210 MHz, 0 %, 24.10 W, 7186 MiB
2026/07/05 18:51:38.375, 210 MHz, 0 %, 23.97 W, 7186 MiB
2026/07/05 18:51:39.376, 210 MHz, 0 %, 23.97 W, 7186 MiB
2026/07/05 18:51:40.376, 210 MHz, 0 %, 24.07 W, 7186 MiB
2026/07/05 18:51:41.376, 210 MHz, 0 %, 23.90 W, 7186 MiB
2026/07/05 18:51:42.377, 210 MHz, 0 %, 23.90 W, 7186 MiB
2026/07/05 18:51:43.377, 210 MHz, 0 %, 24.02 W, 7186 MiB
2026/07/05 18:51:44.378, 210 MHz, 0 %, 23.88 W, 7186 MiB
2026/07/05 18:51:45.378, 210 MHz, 0 %, 23.91 W, 7186 MiB
2026/07/05 18:51:46.378, 210 MHz, 0 %, 24.06 W, 7186 MiB
2026/07/05 18:51:47.379, 210 MHz, 0 %, 23.90 W, 7186 MiB
2026/07/05 18:51:48.379, 210 MHz, 0 %, 23.86 W, 7186 MiB
2026/07/05 18:51:49.379, 210 MHz, 0 %, 23.99 W, 7186 MiB
2026/07/05 18:51:50.380, 210 MHz, 0 %, 23.87 W, 7186 MiB
2026/07/05 18:51:51.380, 210 MHz, 0 %, 23.85 W, 7186 MiB
2026/07/05 18:51:52.380, 210 MHz, 0 %, 23.95 W, 7186 MiB
2026/07/05 18:51:53.381, 210 MHz, 0 %, 23.80 W, 7186 MiB
2026/07/05 18:51:54.381, 210 MHz, 0 %, 23.80 W, 7186 MiB
2026/07/05 18:51:55.381, 210 MHz, 0 %, 23.89 W, 7186 MiB
2026/07/05 18:51:56.382, 210 MHz, 0 %, 23.74 W, 7186 MiB
